Adapter Name,People,Resource,Adapter Types,Environment,Original #Tasks,Paper #Tasks,Phase1 notes,Phase 2 notes,Phase 3 notes,Phase 4 notes
PIXIU,Bobby,,,Docker,435,100,,,,
CRMArena,Bobby ,,,Docker,"1,170",100,,,,
Scicode,Haowei Lin,,,Daytona,80,80,,,,
AlgoTune,Haowei Lin,,,Docker,154,154,Need low concurrency,,,
Berkeley Function Calling Leaderboard (BFCL),Haowei Lin -> yuxin,,,Docker,"3,641",123,env start timeout for daytona,,,
Aider Polyglot,Haowei Lin -> yuxin,,,Docker,225,225,verifier error for daytona,,,
LawBench,Haowei Lin,,,Daytona,1000,181,,,,
SpreadsheetBench,Haowei Lin,,,Daytona,400,200,,,,
Seal0,Haowei Lin,,LLM judge,Daytona,111,111,,,,
Omni-math,Haowei Lin,,LLM judge,Daytona,"4,428",200,,,,
TerminalBench2.0,Haowei Lin,,,Daytona,89,89,,,,
DeepSynth,Haowei Lin,,,Daytona,40,40,,,,
GAIA2,Haowei Lin,,LLM judge,Daytona,800,100,,,,
widesearch,Haowei Lin,,,Daytona,200,100,,,,
CRUST-Bench,Haowei Lin -> yuxin,,,Docker,100,100,rust:1.83-slim pull error for daytona,,,
SWT Bench,Haowei Lin  -> yuxin,,,Docker,433,50,cannot_post_api_sandbox for daytona,,,
GAIA,Haowei Lin  ->yuxin,,,Docker,165,165,env start timeout for daytona,,,
devopsgym,william & Han,,,Docker,733,100,,,,
AIME,rosielin.xl@gmail.com,,,Daytona,60,60,,,,
SWE-Lancer,rosielin.xl@gmail.com,,,Daytona,463,100,,,,
ARC-AGI-2,rosielin.xl@gmail.com,,,Daytona,167,100,,,,
CompileBench,rosielin.xl@gmail.com,,,Daytona,15,15,,,,
GPQA Diamond,rosielin.xl@gmail.com,,,Daytona,198,198,,,,
HumanEvalFix,rosielin.xl@gmail.com,,,Daytona,164,164,,,,
IneqMath,rosielin.xl@gmail.com,,LLM judge,Daytona,100,100,,,,
LAB-Bench,rosielin.xl@gmail.com,,,Daytona,181,181,,,,
MMAU,rosielin.xl@gmail.com,,,Daytona,1000,100,,,,
QCircuitBench,rosielin.xl@gmail.com,,,Daytona,28,28,,,,
MLGym-Bench,Shane,,GPU,modal,11,11,"requested 24 CPU + root previliage, the GPU version is being developed",,,
BigCodeBench,Shane,,,Daytona,145,145,,,,
FeatureBench,Shane,,GPU,modal,200,185,,,,
reaserchcodebench,Wendy ,,,Docker,212,212,,,,
GSO,Willam,,,Daytona,102,102,,,,
HLE,Willam,,LLM judge,Daytona,"2,500",249 (parity set),,,,
Reasoning Gym,workhanxu@gmail.com,,,Daytona,576,576,,,,
SLDBench,workhanxu@gmail.com,,,Daytona,8,8,Agent Timeout too low,,,
Spider 2,workhanxu@gmail.com,,,Daytona,68,64,,,,
StrongReject,workhanxu@gmail.com,,LLM judge,Daytona,12207,150,,,,
SWE-smith,workhanxu@gmail.com,,,Daytona,59136,100,,,,
MMMLU,workhanxu@gmail.com,,,Daytona,"210,630",150,,,,
USACO,workhanxu@gmail.com,,,Daytona,307,100,,,,
KUMO,workhanxu@gmail.com,,,Daytona,5300,212,,,,
FinanceAgent,workhanxu@gmail.com,,LLM judge,Docker,50,50,env start timeout for daytona,registry.json should use financeagent_terminal,,
DA-Code,Yizhi,,,Daytona,479,200,,,,
SkillsBench,Yizhi,,,Daytona,86,77,,,,
SWE-Bench Pro,Yizhi,,,Daytona,730,100,,,,
QuixBugs,Yuxin,,,Daytona,80,80,,,,
SWE-Bench-Multilingual,Yuxin -> zizhao,,,Daytona,300,50,parity,,,
BIX-Bench,Zoe Chen,,LLM judge,Docker,205,50,"Need x86-64 arch, 20GB disks",(1) switched to bixbench-cli for cross-agent comparison. the original bixbench in registry was only suitable for custom agents (for partify only) (2) running on mac,,
MedAgentBench,Zoe Chen,,,Daytona,300,100,,,,
SimpleQA,Zoe Chen,,LLM judge,Daytona,1000,200,,,,
SWE-bench-verified,Zoe Chen,,,Daytona,500,100,,,,
LiveCodeBench,Zoe Chen,,,Daytona,"1,055",100,,,agent timeout for deepseek reasoner,
CodePDE,Zoe Chen,,,Daytona,5,5,,(expected) easy verifier timeout,,
ReplicationBench,Zoe Chen,,,Daytona,111,90,Easy agent timeout,daytona + linux (does not work on daytona + mac...),,
AA-LCR,wendy,,,Daytona,100,99,parity set,,,
CyberGym,Shane,,,,"1,507",10,very large!,,,
